Brand,Model,Price,Year,image_file,Screen_Size_in,Weight_kg,CPU,GPU,RAM_GB,Storage_GB,Battery_Hours,Category,Performance_Score,Portability_Score,Display_Score,Value_Score
ASUS,ROG Zephyrus G14 2025,14999,2025,,14.0,1.50,AMD Ryzen AI Max 390,RTX 5070,32,1024,10,游戏本,96,85,95,85
MSI,Titan 18 AI 2025,39999,2025,,18.0,3.60,Intel Core Ultra 9 285K,RTX 5090,64,4096,6,游戏本,100,40,98,70
Dell,XPS 14 2026,15999,2026,,14.5,1.60,Intel Lunar Lake Core Ultra 7,Intel Arc 140V,32,1024,18,轻薄本,90,92,96,78
Apple,MacBook Pro 16 M5 Max,29999,2026,,16.2,2.15,Apple M5 Max,Apple M5 Max GPU,48,1024,24,专业本,99,75,99,80
ROG,Zephyrus G14 2025,14999,2025,,14.0,1.50,AMD Ryzen AI Max 390,RTX 5070,32,1024,10,游戏本,95,85,95,85
Apple,MacBook Air 15 M4,10499,2025,,15.3,1.51,Apple M4,Apple M4 GPU,16,512,18,轻薄本,90,85,92,88
Apple,MacBook Pro 16 M4 Max,26999,2024,,16.2,2.15,M4 Max (16-core),M4 Max (40-core),48,1024,21,Creative,99,75,99,80
Apple,MacBook Pro 14 M5,13999,2025,N/A,14.2,1.60,M5 Pro,M5 Pro 20-core,24,512,24,Professional,97,88,98,85
Lenovo,Yoga Pro 7i Aura,9999,2024,,15.3,1.46,Core Ultra 7 258V,Intel Arc 140V,32,1024,20,Thin&Light,92,95,94,88
Lenovo,ThinkPad X1 Carbon Gen 13,14999,2025,,14.0,0.98,Core Ultra 7 258V,Intel Arc 140V,32,1024,18,Business,92,100,95,85
Lenovo,ThinkPad X1 Carbon Gen 14,15999,2026,,14.0,0.98,Core Ultra 7 358V,Intel Arc 240V,32,1024,20,Business,93,100,96,80
Lenovo,IdeaPad Pro 5i Gen 10,6999,2025,,16.0,1.95,Core Ultra 5 225H,RTX 5050,16,1024,10,All-around,88,82,90,95
HP,Spectre x360 14 (2024),11999,2024,,14.0,1.45,Core Ultra 7 155H,Intel Arc,32,1024,13,Thin&Light,88,94,96,82
HP,OmniBook X Flip 14,12999,2025,,14.0,1.35,Snapdragon X Elite,Adreno,32,1024,22,Thin&Light,91,96,94,85
HP,EliteBook Ultra G1i,13999,2026,,13.5,1.15,Core Ultra 7 368V,Intel Arc,32,1024,18,Business,92,98,95,82
HP,Omen Max 16,14999,2025,,16.1,2.40,Core i9-15900HX,RTX 5070,32,1024,6,Gaming,96,60,92,88
Dell,XPS 14 (9440),14999,2024,,14.5,1.68,Core Ultra 7 155H,RTX 4050,16,1024,10,Creative,90,85,96,78
Dell,XPS 16 (9640),18999,2024,N/A,16.3,2.20,Core Ultra 9 185H,RTX 4070,32,1024,12,Creative,94,70,98,75
Dell,Alienware m16 R3,21999,2025,,16.0,2.55,Core Ultra 9 285H,RTX 5080,64,2048,5,Gaming,99,55,95,78
ASUS,Zenbook DUO 2026,19999,2026,,14.0 Dual,1.65,Core Ultra 9 385H,Intel Arc,32,2048,12,Creative,95,80,98,80
ASUS,ROG Zephyrus G16 2025,20999,2025,,16.0,1.85,Ryzen AI 9 HX 370,RTX 5080,32,2048,10,Gaming,98,85,97,82
ASUS,ProArt P16 2024,17999,2024,,16.0,1.85,Ryzen AI 9 HX 370,RTX 4070,64,2048,10,Creative,96,82,98,88
Razer,Blade 16 2025,32999,2025,,16.0,2.45,Core i9-15950HX,RTX 5090,64,4096,5,Gaming,100,65,99,68
Huawei,MateBook 14 Core Ultra,6499,2024,,14.2,1.31,Core Ultra 5 125H,Intel Arc,16,1024,14,Thin&Light,88,95,92,92
Dell,XPS 13 2024,12999,2024,N/A,13.4,1.19,Snapdragon X Elite,Adreno,16,512,N/A,N/A,88,98,90,82
Lenovo,Yoga Slim 7i Aura,9999,2024,,15.3,1.46,Core Ultra 7 258V,Intel Arc 140V,32,1024,20,Thin&Light,92,95,94,88
Dell,XPS 13 9340,12999,2024,N/A,13.4,1.19,Snapdragon X Elite,Adreno,16,512,18,Thin&Light,88,98,90,82
Lenovo,Legion Pro 7i Gen 9,18999,2024,,16.0,2.62,i9-14900HX,RTX 4090 Laptop,32,1024,8,Gaming,98,60,94,82
